PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRetx
79678,00507V10,ATVI,12499,2021-11-09,67.100000,0.004190
79678,00507V10,ATVI,12499,2021-11-10,66.660000,-0.006557
79678,00507V10,ATVI,12499,2021-11-11,67.500000,0.012601
79678,00507V10,ATVI,12499,2021-11-12,69.690000,0.032444
79678,00507V10,ATVI,12499,2021-11-15,70.430000,0.010618
79678,00507V10,ATVI,12499,2021-11-16,66.140000,-0.060912
79678,00507V10,ATVI,12499,2021-11-17,64.200000,-0.029332
79678,00507V10,ATVI,12499,2021-11-18,62.670000,-0.023832
79678,00507V10,ATVI,12499,2021-11-19,62.380000,-0.004627
79678,00507V10,ATVI,12499,2021-11-22,62.200000,-0.002886
79678,00507V10,ATVI,12499,2021-11-23,61.770000,-0.006913
79678,00507V10,ATVI,12499,2021-11-24,60.910000,-0.013923
79678,00507V10,ATVI,12499,2021-11-26,60.620000,-0.004761
79678,00507V10,ATVI,12499,2021-11-29,60.310000,-0.005114
79678,00507V10,ATVI,12499,2021-11-30,58.600000,-0.028354
79678,00507V10,ATVI,12499,2021-12-01,57.280000,-0.022526
79678,00507V10,ATVI,12499,2021-12-02,57.290000,0.000175
79678,00507V10,ATVI,12499,2021-12-03,57.360000,0.001222
79678,00507V10,ATVI,12499,2021-12-06,58.090000,0.012727
79678,00507V10,ATVI,12499,2021-12-07,58.770000,0.011706
79678,00507V10,ATVI,12499,2021-12-08,59.270000,0.008508
79678,00507V10,ATVI,12499,2021-12-09,59.070000,-0.003374
79678,00507V10,ATVI,12499,2021-12-10,58.600000,-0.007957
79678,00507V10,ATVI,12499,2021-12-13,58.700000,0.001706
79678,00507V10,ATVI,12499,2021-12-14,59.520000,0.013969
79678,00507V10,ATVI,12499,2021-12-15,60.260000,0.012433
79678,00507V10,ATVI,12499,2021-12-16,61.490000,0.020412
79678,00507V10,ATVI,12499,2021-12-17,61.360000,-0.002114
79678,00507V10,ATVI,12499,2021-12-20,61.800000,0.007171
79678,00507V10,ATVI,12499,2021-12-21,63.590000,0.028964
79678,00507V10,ATVI,12499,2021-12-22,64.100000,0.008020
79678,00507V10,ATVI,12499,2021-12-23,65.160000,0.016537
79678,00507V10,ATVI,12499,2021-12-27,65.450000,0.004451
79678,00507V10,ATVI,12499,2021-12-28,66.670000,0.018640
79678,00507V10,ATVI,12499,2021-12-29,67.160000,0.007350
79678,00507V10,ATVI,12499,2021-12-30,67.490000,0.004914
79678,00507V10,ATVI,12499,2021-12-31,66.530000,-0.014224
79678,00507V10,ATVI,12499,2022-01-03,67.420000,0.013377
79678,00507V10,ATVI,12499,2022-01-04,67.200000,-0.003263
79678,00507V10,ATVI,12499,2022-01-05,66.290000,-0.013542
79678,00507V10,ATVI,12499,2022-01-06,63.820000,-0.037261
79678,00507V10,ATVI,12499,2022-01-07,64.040000,0.003447
79678,00507V10,ATVI,12499,2022-01-10,63.110000,-0.014522
79678,00507V10,ATVI,12499,2022-01-11,65.850000,0.043416
79678,00507V10,ATVI,12499,2022-01-12,64.810000,-0.015793
79678,00507V10,ATVI,12499,2022-01-13,64.170000,-0.009875
79678,00507V10,ATVI,12499,2022-01-14,65.390000,0.019012
79678,00507V10,ATVI,12499,2022-01-18,82.310000,0.258755
79678,00507V10,ATVI,12499,2022-01-19,82.150000,-0.001944
79678,00507V10,ATVI,12499,2022-01-20,81.760000,-0.004747
79678,00507V10,ATVI,12499,2022-01-21,81.350000,-0.005015
79678,00507V10,ATVI,12499,2022-01-24,79.970000,-0.016964
79678,00507V10,ATVI,12499,2022-01-25,79.120000,-0.010629
79678,00507V10,ATVI,12499,2022-01-26,78.780000,-0.004297
79678,00507V10,ATVI,12499,2022-01-27,78.900000,0.001523
79678,00507V10,ATVI,12499,2022-01-28,79.140000,0.003042
79678,00507V10,ATVI,12499,2022-01-31,79.010000,-0.001643
79678,00507V10,ATVI,12499,2022-02-01,79.060000,0.000633
79678,00507V10,ATVI,12499,2022-02-02,79.250000,0.002403
79678,00507V10,ATVI,12499,2022-02-03,78.950000,-0.003785
79678,00507V10,ATVI,12499,2022-02-04,79.250000,0.003800
79678,00507V10,ATVI,12499,2022-02-07,79.500000,0.003155
79678,00507V10,ATVI,12499,2022-02-08,80.230000,0.009182
79678,00507V10,ATVI,12499,2022-02-09,81.500000,0.015829
79678,00507V10,ATVI,12499,2022-02-10,81.450000,-0.000613
79678,00507V10,ATVI,12499,2022-02-11,81.500000,0.000614
79678,00507V10,ATVI,12499,2022-02-14,81.500000,0.000000
79678,00507V10,ATVI,12499,2022-02-15,81.520000,0.000245
79678,00507V10,ATVI,12499,2022-02-16,81.460000,-0.000736
79678,00507V10,ATVI,12499,2022-02-17,80.970000,-0.006015
79678,00507V10,ATVI,12499,2022-02-18,81.050000,0.000988
79678,00507V10,ATVI,12499,2022-02-22,81.230000,0.002221
79678,00507V10,ATVI,12499,2022-02-23,80.710000,-0.006402
79678,00507V10,ATVI,12499,2022-02-24,81.010000,0.003717
79678,00507V10,ATVI,12499,2022-02-25,81.440000,0.005308
79678,00507V10,ATVI,12499,2022-02-28,81.500000,0.000737
79678,00507V10,ATVI,12499,2022-03-01,80.880000,-0.007607
79678,00507V10,ATVI,12499,2022-03-02,81.480000,0.007418
79678,00507V10,ATVI,12499,2022-03-03,81.500000,0.000245
79678,00507V10,ATVI,12499,2022-03-04,81.430000,-0.000859
79678,00507V10,ATVI,12499,2022-03-07,80.550000,-0.010807
79678,00507V10,ATVI,12499,2022-03-08,81.030000,0.005959
79678,00507V10,ATVI,12499,2022-03-09,80.830000,-0.002468
79678,00507V10,ATVI,12499,2022-03-10,80.800000,-0.000371
79678,00507V10,ATVI,12499,2022-03-11,80.310000,-0.006064
79678,00507V10,ATVI,12499,2022-03-14,79.550000,-0.009463
79678,00507V10,ATVI,12499,2022-03-15,79.510000,-0.000503
79678,00507V10,ATVI,12499,2022-03-16,79.120000,-0.004905
79678,00507V10,ATVI,12499,2022-03-17,78.890000,-0.002907
79678,00507V10,ATVI,12499,2022-03-18,78.760000,-0.001648
79678,00507V10,ATVI,12499,2022-03-21,78.840000,0.001016
79678,00507V10,ATVI,12499,2022-03-22,79.300000,0.005835
79678,00507V10,ATVI,12499,2022-03-23,79.070000,-0.002900
79678,00507V10,ATVI,12499,2022-03-24,79.620000,0.006956
79678,00507V10,ATVI,12499,2022-03-25,79.600000,-0.000251
79678,00507V10,ATVI,12499,2022-03-28,80.010000,0.005151
79678,00507V10,ATVI,12499,2022-03-29,80.750000,0.009249
79678,00507V10,ATVI,12499,2022-03-30,80.360000,-0.004830
79678,00507V10,ATVI,12499,2022-03-31,80.110000,-0.003111
79678,00507V10,ATVI,12499,2022-04-01,80.820000,0.008863
79678,00507V10,ATVI,12499,2022-04-04,80.730000,-0.001114
79678,00507V10,ATVI,12499,2022-04-05,80.380000,-0.004335
79678,00507V10,ATVI,12499,2022-04-06,80.110000,-0.003359
79678,00507V10,ATVI,12499,2022-04-07,80.110000,0.000000
79678,00507V10,ATVI,12499,2022-04-08,80.090000,-0.000250
79678,00507V10,ATVI,12499,2022-04-11,79.480000,-0.007616
79678,00507V10,ATVI,12499,2022-04-12,79.540000,0.000755
79678,00507V10,ATVI,12499,2022-04-13,79.100000,-0.005532
79678,00507V10,ATVI,12499,2022-04-14,78.930000,-0.002149
